#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      6.26e+00      6.83e-01      1.97e-01    1.0e-03
   2000      1.04e+00      1.18e-01      3.26e-02    1.0e-03
   4000      1.49e+00      5.97e-02      4.70e-02    1.0e-03
   6000      2.64e+00      3.03e-01      8.32e-02    1.0e-03
   8000      7.72e-01      3.65e-01      2.35e-02    1.0e-03
  10000      1.29e-01      1.39e-02      4.06e-03    1.0e-03
  12000      5.13e-01      1.14e-01      1.61e-02    1.0e-03
  14000      4.24e+00      7.27e-02      1.34e-01    1.0e-03
  16000      3.30e-01      3.93e-01      3.20e-03    1.0e-03
  18000      2.23e+00      4.50e-03      7.07e-02    1.0e-03
  20000      1.03e+00      2.96e-02      3.26e-02    1.0e-03
  22000      2.18e+00      1.22e-01      6.91e-02    1.0e-03
  24000      2.41e+00      4.30e-01      7.60e-02    1.0e-03
  26000      1.63e+00      8.20e-01      4.71e-02    1.0e-03
  28000      3.34e-01      1.89e-02      1.06e-02    1.0e-03
  30000      2.08e+00      3.02e-01      6.56e-02    1.0e-03
  32000      1.74e+00      1.31e-01      5.48e-02    1.0e-03
  34000      5.94e-01      3.78e-02      1.88e-02    1.0e-03
  36000      5.27e-01      1.31e-01      1.65e-02    1.0e-03
  38000      1.81e+00      1.96e-01      5.71e-02    1.0e-03
  40000      2.37e+00      1.29e-01      7.65e-02    9.4e-04
  42000      1.41e+00      2.25e-02      4.60e-02    9.4e-04
  44000      1.59e+00      1.31e-01      5.15e-02    9.4e-04
  46000      7.18e-01      3.23e-02      2.33e-02    9.4e-04
  48000      1.68e+00      9.79e-02      5.44e-02    9.4e-04
  50000      1.11e+00      3.11e-01      3.30e-02    9.4e-04
  52000      8.71e-01      1.11e-02      2.83e-02    9.4e-04
  54000      2.02e+00      4.18e-02      6.56e-02    9.4e-04
  56000      1.92e-01      4.17e-02      5.95e-03    9.4e-04
  58000      1.94e+00      2.66e-01      6.07e-02    9.4e-04
  60000      1.78e+00      1.93e-02      5.80e-02    9.4e-04
  62000      8.94e-01      3.84e-02      2.90e-02    9.4e-04
