#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.64e+01    2.74e+01      6.85e-01    6.87e-01      8.34e-01    8.67e-01    1.0e-03
    100      1.73e+01    1.80e+01      4.31e-03    4.75e-03      9.11e-01    9.43e-01    3.6e-04
    200      1.07e+01    1.08e+01      1.25e-02    1.04e-02      9.34e-01    9.42e-01    1.3e-04
    300      6.47e+00    6.33e+00      6.05e-03    2.56e-03      9.30e-01    9.09e-01    4.8e-05
    400      4.29e+00    4.05e+00      1.21e-03    3.27e-03      1.01e+00    9.48e-01    1.7e-05
    500      2.50e+00    2.59e+00      2.15e-03    2.58e-03      9.31e-01    9.64e-01    6.2e-06
    600      1.67e+00    1.68e+00      1.72e-03    4.39e-04      9.26e-01    9.31e-01    2.3e-06
    700      1.26e+00    1.22e+00      3.09e-03    2.66e-03      9.36e-01    9.08e-01    8.2e-07
    800      1.07e+00    1.15e+00      3.90e-03    1.75e-03      9.34e-01    1.01e+00    3.0e-07
    900      9.78e-01    9.34e-01      3.32e-03    1.85e-03      9.29e-01    8.87e-01    1.1e-07
   1000      9.63e-01    9.59e-01      3.76e-03    2.83e-04      9.43e-01    9.41e-01    3.9e-08
